time,users,connected 
0,13,12 
10,25,25 
20,8,9 
30,3,3 
40,1,1 
50,1,1 
60,39,39 
70,42,44 
80,17,17 
90,3,3 
100,35,31 
110,102,97 
120,66,66 
130,7,7 
140,1,1 
150,62,60 
160,233,232 
170,227,227 
180,119,122 
190,13,13 
200,2,2 
210,111,110 
220,401,399 
230,423,417 
240,317,320 
250,74,79 
260,4,4 
267,0,0 
