time,users_count,finish_users_count 
0,23,1 
10,30,10 
20,30,26 
30,30,30 
40,69,32 
50,88,54 
60,88,78 
70,88,87 
80,124,88 
90,205,98 
100,208,161 
110,208,201 
120,208,207 
130,339,211 
140,426,271 
150,426,380 
160,426,418 
170,426,426 
180,726,431 
190,906,580 
200,906,818 
210,906,894 
220,906,906 
230,1491,923 
240,1852,1204 
250,1852,1641 
260,1852,1825 
270,1852,1850 
280,2897,1879 
290,3683,2351 
300,3683,3257 
310,3683,3628 
320,3683,3677 
330,3683,3683 
340,3683,3683 
350,4611,3683 
360,7046,4023 
370,7343,5684 
380,7343,6976 
390,7343,7308 
400,7343,7338 
410,7343,7342 
420,7343,7343 
430,11764,7392 
440,14853,7909 
