time,request,connect 
0,6.7,2.3 
10,14.1,0.7 
20,4.7,0 
30,1,0 
40,13.8,3.9 
50,22.7,1.9 
60,12.2,0 
70,2.1,0 
80,6,3.3 
90,43.5,8.2 
100,44.3,0.5 
110,12.9,0 
120,1.1,0 
130,38.4,12.7 
140,95.5,9.1 
150,47.8,0 
160,9,0 
170,2.7,0 
180,100.9,29.6 
190,198.6,18.4 
200,105.4,0 
210,15.8,0 
220,2,0 
230,185.3,58.5 
240,391.6,36.1 
250,208.8,0 
260,44.3,0 
270,4.7,0 
280,312.3,99.6 
290,768,83.5 
300,432.8,0 
310,92,0 
320,10,0 
330,1,0 
340,0,0 
350,153.8,86.4 
360,1241.1,244.9 
370,1334,66.2 
380,420,0.5 
390,70,0 
400,6,0 
410,0.8,0 
420,0.3,0 
430,1253.6,453.2 
440,1937,775.7 
