time,request,connect 
0,169.206,9.626 
10,202.711,9.626 
20,202.711,9.626 
30,202.711,9.626 
40,202.711,9.626 
50,202.711,9.626 
60,202.711,9.626 
70,234.077,9.626 
80,234.077,12.44 
90,234.077,12.44 
100,238.941,12.44 
110,238.941,12.44 
120,238.941,12.44 
130,238.941,12.44 
140,244.512,12.44 
150,244.512,12.44 
160,244.512,12.44 
170,244.512,12.44 
180,244.512,14.269 
190,255.91,14.269 
200,255.91,14.269 
210,255.91,14.269 
220,255.91,14.269 
230,264.302,14.363 
240,312.935,14.363 
250,312.935,14.363 
260,312.935,14.363 
270,312.935,14.363 
280,312.935,14.363 
290,595.183,21.725 
300,595.183,21.725 
310,595.183,21.725 
320,595.183,21.725 
330,595.183,21.725 
340,595.183,21.725 
350,595.183,21.725 
360,712.858,27.105 
370,1247.528,27.105 
380,1247.528,27.105 
390,1247.528,27.105 
400,1247.528,27.105 
410,1247.528,27.105 
420,1247.528,27.105 
430,1610.712,27.105 
440,8606.75,28.069 
