time,size_sent,size_rcv 
0,23.5171875,160.51328125 
10,63.86796875,761.5140625 
20,21.44609375,391.82890625 
30,4.2671875,16.23515625 
40,52.15390625,442.20703125 
50,99.5953125,1172.16875 
60,56.43046875,825.55 
70,9.034375,114.3765625 
80,15.53515625,100.9453125 
90,179.096875,1739.55078125 
100,203.721875,2543.9765625 
110,56.9828125,857.95703125 
120,4.93671875,16.13125 
130,135.996875,823.86796875 
140,419.1,4462.36171875 
150,218.73515625,3755.58125 
160,40.1609375,746.21953125 
170,11.753125,168.72265625 
180,366.45234375,2890.7640625 
190,877.85703125,10265.8328125 
200,481.08046875,8645.2109375 
210,71.31875,1013.0390625 
220,8.60859375,38.80234375 
230,667.88203125,4508.55859375 
240,1716.94375,22306.8640625 
250,962.278125,20077.57734375 
260,197.478125,4056.671875 
270,20.5828125,268.271875 
280,1121.77109375,8500.7 
290,3336.7515625,48474.684375 
300,1985.59375,50794.4390625 
310,410.6859375,9970.246875 
320,43.1828125,756.38359375 
330,4.44375,17.99140625 
340,0,0 
350,387.44140625,2673.721875 
360,5063.19296875,61544.846875 
370,6082.30625,161779.24765625 
380,1890.57109375,70855.7640625 
390,306.46484375,9510.940625 
400,26.45859375,316.0140625 
410,3.3578125,12.26796875 
420,1.23984375,3.596875 
430,4598.06640625,35695.6640625 
440,9186.14140625,110271.25078125 
