time,200,400,502,422,302 
0,43,,,,24 
10,125,,,,83 
20,156,,,,99 
30,162,,,,103 
40,252,,,,151 
50,383,,,,247 
60,457,,,,295 
70,473,,,,300 
80,520,,,,313 
90,779,,,,489 
100,1045,,,,666 
110,1133,,,,707 
120,1140,,,,711 
130,1384,,,,851 
140,1951,,,,1239 
150,2253,,,,1415 
160,2317,,,,1441 
170,2334,,,,1451 
180,2985,,,,1809 
190,4138,,,,2642 
200,4810,,,,3024 
210,4922,,,,3070 
220,4938,,,,3074 
230,6121,,,,3744 
240,8416,,,,5365 
250,9727,,,,6142 
260,10031,,,,6281 
270,10069,,,,6290 
280,12083,,,,7400 
290,16567,,,,10597 
300,19284,,,,12206 
310,19910,,,,12500 
320,19986,,,,12524 
330,19993,,,,12527 
340,19993,,,,12527 
350,21220,,,,12838 
360,28626,,,,17844 
370,36498,,,,23312 
380,39287,,,,24722 
390,39785,,,,24924 
400,39828,,,,24941 
410,39834,,,,24943 
420,39836,,,,24944 
430,48010,,,,29307 
440,58807,4,471,142,37257 
