time,users,connected 
0,23,23 
10,29,-3 
20,29,-16 
30,29,-4 
40,39,38 
50,46,-2 
60,46,-25 
70,46,-10 
80,46,32 
90,107,73 
100,108,-54 
110,108,-45 
120,108,-6 
130,128,123 
140,195,33 
150,195,-110 
160,195,-39 
170,195,-8 
180,295,291 
190,413,38 
200,413,-241 
210,413,-75 
220,413,-13 
230,569,569 
240,794,100 
250,794,-450 
260,794,-186 
270,794,-31 
280,1018,975 
290,1603,378 
300,1603,-906 
310,1603,-388 
320,1603,-55 
330,1603,-6 
340,1603,0 
350,1603,864 
360,3023,2073 
370,3182,-1229 
380,3182,-1324 
390,3182,-345 
400,3182,-34 
410,3182,-4 
420,3182,-1 
430,4372,3882 
440,7215,2474 
