time,users,connected 
0,28,25 
10,24,24 
20,15,15 
30,13,13 
40,6,7 
50,16,11 
60,58,58 
70,32,33 
80,19,20 
90,13,13 
100,9,9 
110,31,29 
120,94,92 
130,75,76 
140,52,52 
150,41,41 
160,38,38 
170,37,37 
180,37,37 
190,37,37 
200,37,37 
210,36,36 
220,32,32 
230,27,27 
240,4,5 
250,144,135 
260,228,228 
270,191,191 
280,187,188 
290,180,180 
300,146,147 
310,118,120 
320,84,84 
330,74,74 
340,73,73 
350,73,73 
360,73,73 
370,65,64 
380,62,61 
390,62,55 
400,62,59 
410,62,62 
420,61,61 
430,56,56 
440,45,45 
450,30,30 
460,7,7 
470,117,99 
480,438,421 
490,438,440 
500,294,297 
510,212,213 
520,195,195 
530,190,190 
540,182,182 
550,162,159 
560,131,130 
570,126,126 
580,125,125 
590,116,116 
600,112,112 
610,98,98 
620,74,66 
630,58,58 
640,40,41 
650,40,40 
660,40,40 
670,40,40 
680,3,3 
690,1,1 
700,223,222 
710,823,798 
720,679,673 
730,321,324 
740,208,212 
750,199,199 
760,193,194 
770,192,191 
780,167,167 
790,152,152 
800,151,151 
810,149,149 
820,148,148 
830,147,147 
840,127,126 
850,105,105 
860,101,101 
870,100,100 
880,99,99 
890,96,96 
900,89,89 
910,43,43 
920,27,27 
930,12,11 
940,12,12 
950,11,11 
960,1,3 
962,0,0 
