time,200,504,302 
0,32,,15 
10,101,,69 
20,124,,87 
30,133,,91 
40,133,,91 
50,133,,91 
60,133,,91 
70,139,5,95 
80,148,8,99 
90,150,9,100 
94,151,9,100 
