time,users_count,finish_users_count 
0,22,1 
10,30,11 
20,30,25 
30,30,30 
40,69,33 
50,84,49 
60,84,68 
70,84,81 
80,110,84 
90,179,92 
100,195,141 
110,195,186 
120,195,193 
130,244,195 
140,401,214 
150,426,312 
160,426,401 
170,426,422 
180,531,426 
190,845,471 
200,885,669 
210,885,842 
220,885,881 
230,885,885 
240,1424,893 
250,1845,1096 
260,1845,1593 
270,1845,1809 
280,1845,1843 
290,2289,1845 
300,3508,1869 
310,3682,2105 
320,3682,2965 
330,3682,3574 
340,3682,3677 
350,3682,3681 
360,3682,3682 
