time,sentpackets@tsung_controller@ip-172-31-46-69 
10,283 
20,283 
30,251 
40,45 
50,45 
60,45 
70,45 
80,45 
90,45 
100,45 
110,45 
120,45 
130,45 
140,45 
150,45 
160,45 
170,45 
180,45 
190,45 
200,45 
210,45 
220,45 
230,45 
240,45 
