time,cpu@tsung_controller@ip-172-31-29-186 
0,0.03326879945699302 
10,0.01978033418354068 
20,0.017698746512305834 
30,0.0072857469972314156 
40,0.0031233082080539707 
50,0.00832821495122789 
60,0.07391521612392771 
70,0.037476967280525506 
80,0.008327348051921016 
90,0.0010409943578105806 
100,0.009369241820131376 
110,0.06456248503087544 
120,0.0603984213102292 
130,0.021861791834100232 
140,0.014572707400853546 
150,0.06768859082767527 
160,0.18438076189880934 
170,0.1155768429820908 
180,0.02706641682281907 
190,0.006246161213420919 
200,0.0468593802065978 
210,0.2752092737185568 
220,0.3104748807067992 
230,0.11348965057681895 
240,0.022904260192395786 
250,0.0020820970881872225 
260,0.30023768816980106 
270,0.6705530237457112 
280,0.4481687615950639 
290,0.08746537828776109 
300,0.014575134819997084 
310,0.11150130779571292 
320,0.4612815696096848 
330,0.7260361140377414 
340,0.8585347534450923 
350,0.23957834211787254 
360,0.03852882372542486 
