time,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Authenticate_User,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Post_New_Book,tr_Reply_To_Conversation 
0,6.5,,,,,,0.1,,0.5,,,,0.1,0.1,,1.2,1,,0.1,,,0.1,0.1,, 
10,13.6,0.1,0.5,0.1,0.5,0.1,0,0.2,2.1,0.5,,0.1,0,0.5,0.1,0.4,1.8,,0.8,0.4,0.6,0.9,0.8,0.4,0.1 
20,4.7,0,0.1,0,0.2,0,0,0.4,0.3,0.1,0.1,0,0,0.6,0,0,0.2,0.1,0.4,0.2,0,1.3,0.4,0.3,0 
30,1.2,0,0.1,0,0.1,0,0,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0.3,0,0.1,0 
40,4.8,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,1.4,0.2,0,0,0,0,0,0,0,0 
50,23.9,0,0.5,0.1,0.3,0.1,0.1,0.2,3.5,0.5,0,0,0.5,0.6,0.1,1,3.9,0,1.4,0.3,0.9,1.5,1.4,0.2,0 
60,15.7,0.2,0.7,0.4,0.5,0.1,0.6,0.6,1.8,0.7,0.2,0.3,0,1.3,0.6,0,1.2,0.1,0.8,0.9,0.3,2.3,0.8,0.6,0.2 
70,2.4,0.3,0.1,0.2,0.1,0,0,0.1,0,0.1,0,0.2,0,0.3,0,0,0,0.1,0,0.1,0.1,0.6,0,0.1,0.3 
80,0.2,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1 
90,2.9,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0.1 
100,39.3,0,0.2,0,0.6,0.5,0.1,0.1,4.3,0.2,0.4,0,1,0.6,0,5.5,5.8,0.2,1.2,0.2,0.7,1.3,1.2,0.3,0 
110,45.2,0.2,1.9,0.6,1.8,1,0.8,1.3,6.7,1.9,1.1,0.3,0,1.6,0.9,1,5.7,1.3,1.7,1.5,1.8,2.7,1.7,1.7,0.2 
120,14.1,0.5,0.9,0.5,0.4,0.1,0.2,1.1,1,0.9,0.1,0.8,0,1.1,0.2,0,0.4,0.1,0.5,1.1,0.5,2.4,0.5,0.8,0.5 
130,1.4,0.4,0,0,0.1,0,0,0.3,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0.3,0,0.1,0.4 
140,32.6,0,0.1,0,0.4,0,0,0.2,2.5,0.1,0,0,1.8,0,0,6.7,4.1,0,0.6,0.2,0.1,0.4,0.6,0.4,0 
