time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,158.29500000000002,56.0238,72.54709090909091,,,7.614833333333334,,97.92271428571429, 
10,190.54725000000005,240.4625294117647,165.56831192660536,,,15.286413793103447,,221.2836818181818, 
20,318.34972727272725,467.07568292682936,395.9039156626507,44.03,598.774,31.611756097560967,14310.387,453.1755555555556,19.558 
30,317.49399999999997,0,288.34528571428575,0,0,8.869333333333334,0,391.719,0 
40,0,0,0,0,0,0,0,0,0 
50,23894.0075,0,26285.74033333333,0,0,23477.4525,47474.37,23588.941,0 
60,0,0,60004.72933333333,0,0,0,60004.88533333334,0,0 
70,0,0,60001.084894736836,0,0,0,60001.22357894738,0,0 
80,0,0,60001.129096774195,0,0,0,60001.27025806452,0,0 
90,59999.988,0,60000.560703703704,0,0,60001.72233333334,60000.679470588235,60000.45250000001,0 
100,0,0,0,0,0,0,0,0,0 
110,60007.2385,0,60005.66,0,0,0,60003.15266666667,60003.187000000005,60016.422 
120,0,0,60004.5175,0,0,0,60002.047,0,60007.356 
130,0,0,60003.50373333333,0,0,0,0,0,60003.77366666666 
140,0,0,38300.01844680851,0.6695384615384614,0.631,0,0,0,60003.36103333334 
150,60003.47166666667,0,19605.372079207915,0.631241379310345,0.6463448275862066,0,51431.67185714286,20001.626,46002.90963333334 
160,0,0,8572.600857142856,0.549,0.69675,0,0.637,0,60005.314 
170,0,0,33873.9373392857,32850.42738461538,18343.595285714287,0,60000.9415,44415.185333333335,46826.269400000005 
180,0,0,4532.940272727273,4064.346,4689.692315789474,0,0,0,3279.549 
190,0,0,12361.853,0,12362.074,0,0,0,0 
200,0,0,0,0,0,0,0,0,0 
210,0,0,60386.839,0,0,0,60387.017,0,0 
220,0,0,0,0,0,0,0,0,0 
230,0,0,60446.848600000005,0,60360.2615,0,60793.882,0,0 
240,0,0,60373.12022222221,60219.7825,60324.85914285715,0,60865.8155,0,0 
250,0,0,60199.027,0,60199.221,0,0,0,0 
260,0,0,0,0,0,0,0,0,0 
270,0,0,60670.271,0,0,0,0,0,60670.512 
280,0,0,0,0,0,0,0,0,0 
290,0,0,0,0,0,0,0,0,0 
300,0,0,60490.5828,0,60411.759999999995,0,0,0,60543.54066666667 
310,0,0,7688.687000000001,15059.45575,318.297,0,0,0,0 
314,0,0,0,0,0,0,0,0,0 
