time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,335.213,99.764,335.042,,,18.571,,201.574, 
10,521.896,772.456,772.399,,,147.155,,621.192, 
20,1016.922,1024.254,14310.245,44.03,598.774,192.65,14310.387,1043.484,19.558 
30,1016.922,1024.254,14310.245,44.03,598.774,192.65,14310.387,1043.484,19.558 
40,1016.922,1024.254,14310.245,44.03,598.774,192.65,14310.387,1043.484,19.558 
50,24176.401,1024.254,47474.239,44.03,598.774,23559.333,47474.37,24029.839,19.558 
60,24176.401,1024.254,60010.336,44.03,598.774,23559.333,60010.481,24029.839,19.558 
70,24176.401,1024.254,60010.336,44.03,598.774,23559.333,60010.481,24029.839,19.558 
80,24176.401,1024.254,60010.336,44.03,598.774,23559.333,60010.481,24029.839,19.558 
90,59999.988,1024.254,60010.336,44.03,598.774,60001.931,60010.481,60003.135,19.558 
100,59999.988,1024.254,60010.336,44.03,598.774,60001.931,60010.481,60003.135,19.558 
110,60011.269,1024.254,60016.149,44.03,598.774,60001.931,60010.481,60003.258,60016.422 
120,60011.269,1024.254,60016.149,44.03,598.774,60001.931,60010.481,60003.258,60016.422 
130,60011.269,1024.254,60016.149,44.03,598.774,60001.931,60010.481,60003.258,60016.422 
140,60011.269,1024.254,60016.149,44.03,598.774,60001.931,60010.481,60003.258,60016.422 
150,60011.269,1024.254,60016.149,44.03,598.774,60001.931,60010.481,60003.258,60016.422 
160,60011.269,1024.254,60016.149,44.03,598.774,60001.931,60010.481,60003.258,60016.422 
170,60011.269,1024.254,60016.149,59080.116,28208.365,60001.931,60010.481,60003.258,60016.422 
180,60011.269,1024.254,60016.149,59080.116,28208.365,60001.931,60010.481,60003.258,60016.422 
190,60011.269,1024.254,60016.149,59080.116,28208.365,60001.931,60010.481,60003.258,60016.422 
200,60011.269,1024.254,60016.149,59080.116,28208.365,60001.931,60010.481,60003.258,60016.422 
210,60011.269,1024.254,60386.839,59080.116,28208.365,60001.931,60387.017,60003.258,60016.422 
220,60011.269,1024.254,60386.839,59080.116,28208.365,60001.931,60387.017,60003.258,60016.422 
230,60011.269,1024.254,60793.727,59080.116,60707.23,60001.931,60793.882,60003.258,60016.422 
240,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60016.422 
250,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60016.422 
260,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60016.422 
270,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60670.512 
280,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60670.512 
290,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60670.512 
300,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60670.512 
310,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60670.512 
314,60011.269,1024.254,60898.672,60355.254,60854.338,60001.931,60898.844,60003.258,60670.512 
