time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,59.97199340358799,22.205623135293155,68.63474264401314,,,3.348016747104007,,66.60590245340615, 
10,79.43901323617695,148.3183043053481,138.63467396211382,,,25.28722158490228,,106.08657688561665, 
20,181.46717522190215,214.25918658990503,1110.6676578636304,0,0,47.082866146557585,0,197.2785981235173,0 
30,134.18384775933353,0,167.4530970534003,0,0,0.36737749280844945,0,33.92028979829035,0 
40,0,0,0,0,0,0,0,0,0 
50,282.39350000000104,0,7496.8289741861745,0,0,81.8804999999993,0.0,310.3846961344898,0 
60,0,0,5.624294286595539,0,0,0,5.649912939348129,0,0 
70,0,0,2.567607014009851,0,0,0,2.5613770621075296,0,0 
80,0,0,1.5367999923334537,0,0,0,1.5368066171652686,0,0 
90,0.0,0,1.7149470527373178,0,0,0.16447357099028892,1.8362222766131102,1.7381863872053689,0 
100,0,0,0,0,0,0,0,0,0 
110,4.030500000000757,0,4.766126912912502,0,0,0,0.3609702973284916,0.0709999999980937,0.0 
120,0,0,2.5904999999984284,0,0,0,0.0,0,0.0 
130,0,0,1.990614661076372,0,0,0,0,0,1.9699967738275628 
140,0,0,28830.843132600305,0.1218117181331756,0.015556349186104051,0,0,0,1.17404538479451 
150,0.9097491717849998,0,28142.420989169626,0.21747067264384518,0.07110132442729251,0,20996.66146829834,28284.906939145207,25378.35054580511 
160,0,0,20997.21515251515,0.0,0.031195953263203863,0,0.0,0,0.0 
170,0,0,14648.296926538811,11704.411358350277,7904.20380492693,0,0.7874999999985448,15560.262479392228,15767.361149429398 
180,0,0,657.166004730172,0.0,545.0401668303233,0,0,0,119.12300000000005 
190,0,0,0.0,0,0.0,0,0,0,0 
200,0,0,0,0,0,0,0,0,0 
210,0,0,0.0,0,0,0,0.0,0,0 
220,0,0,0,0,0,0,0,0,0 
230,0,0,293.10313501195935,0,264.20140678514593,0,0.0,0,0 
240,0,0,293.18205370318435,135.47149999999965,259.5526248858261,0,33.02850000000035,0,0 
250,0,0,0.0,0,0.0,0,0,0,0 
260,0,0,0,0,0,0,0,0,0 
270,0,0,0.0,0,0,0,0,0,0.0 
280,0,0,0,0,0,0,0,0,0 
290,0,0,0,0,0,0,0,0,0 
300,0,0,101.63077789213395,0,48.09400000000278,0,0,0,93.45992271319018 
310,0,0,10508.975561221072,10593.290921343503,99.97615961568036,0,0,0,0 
314,0,0,0,0,0,0,0,0,0 
