time,users_count,finish_users_count 
0,16,0 
10,29,10 
20,29,20 
30,29,28 
40,44,29 
50,81,34 
60,89,57 
70,89,86 
80,89,88 
90,155,91 
100,201,120 
110,201,167 
120,201,192 
130,201,200 
140,201,200 
150,244,201 
160,413,214 
170,441,284 
180,441,382 
190,441,419 
200,441,431 
210,441,440 
220,441,440 
230,441,441 
240,692,441 
250,913,458 
260,913,484 
270,913,551 
280,913,704 
290,913,844 
300,913,863 
310,913,867 
320,913,868 
330,913,874 
340,913,893 
350,913,903 
360,913,911 
370,1110,913 
380,1744,913 
390,1866,965 
400,1866,1076 
410,1866,1167 
420,1866,1244 
430,1866,1281 
440,1866,1367 
450,1866,1480 
460,1866,1657 
470,1866,1750 
480,1866,1771 
490,1866,1778 
500,1866,1781 
510,1866,1808 
520,1866,1859 
530,1866,1865 
537,1866,1866 
