time,recvpackets@tsung_controller@ip-172-31-46-69 
10,1884 
20,2616 
30,2616 
40,2616 
50,2616 
60,5347 
70,5347 
80,5347 
90,5347 
100,6635 
110,10487 
120,10487 
130,10487 
140,10487 
150,10487 
160,10487 
170,18454 
180,20564 
190,20564 
200,20564 
210,20564 
220,20564 
230,20564 
240,20564 
250,20564 
260,20564 
270,20564 
280,27756 
290,27756 
300,27756 
310,27756 
320,27756 
330,27756 
340,27756 
350,27756 
360,27756 
370,27756 
380,27756 
390,27756 
400,27756 
410,27756 
420,36817 
430,36817 
440,36817 
450,36817 
460,36817 
470,36817 
480,36817 
490,36817 
500,36817 
510,36817 
520,36817 
530,36817 
537,36817 
