time,users,connected 
0,16,14 
10,19,19 
20,9,10 
30,1,1 
40,15,12 
50,47,47 
60,32,33 
70,3,6 
80,1,1 
90,64,61 
100,81,83 
110,34,35 
120,9,11 
130,1,1 
140,1,1 
150,43,39 
160,199,197 
170,157,160 
180,59,59 
190,22,22 
200,10,10 
210,1,1 
220,1,1 
230,0,0 
240,251,227 
250,455,456 
260,429,431 
270,362,369 
280,209,215 
290,69,70 
300,50,50 
310,46,46 
320,45,45 
330,39,39 
340,20,21 
350,10,10 
360,2,2 
370,197,178 
380,831,810 
390,901,881 
400,790,787 
410,699,699 
420,622,623 
430,585,586 
440,499,496 
450,386,389 
460,209,209 
470,116,116 
480,95,95 
490,88,88 
500,85,85 
510,58,61 
520,7,9 
530,1,1 
537,0,0 
