time,sentpackets@tsung_controller@ip-172-31-46-69 
10,539 
20,539 
30,539 
40,539 
50,539 
60,1613 
70,1613 
80,1613 
90,1613 
100,1613 
110,2537 
120,2537 
130,2537 
140,2537 
150,2537 
160,2537 
170,4377 
180,4377 
190,4377 
200,4377 
210,4377 
220,4377 
230,4377 
240,4377 
250,4502 
260,4502 
270,4502 
280,5629 
290,5807 
300,5807 
310,5807 
320,5807 
330,5807 
340,5807 
350,5807 
360,5807 
370,5807 
380,5807 
390,5807 
400,5807 
410,5807 
420,8419 
430,8419 
440,8419 
450,8419 
460,8419 
470,8419 
480,8419 
490,8419 
500,8419 
510,8419 
520,8419 
530,8419 
537,8419 
