time,users,connected 
0,16,14 
10,26,5 
20,26,-9 
30,26,-9 
40,26,11 
50,47,35 
60,55,-14 
70,55,-27 
80,55,-5 
90,64,60 
100,98,22 
110,98,-48 
120,98,-24 
130,98,-10 
140,98,0 
150,98,38 
160,199,158 
170,222,-37 
180,222,-101 
190,222,-37 
200,222,-12 
210,222,-9 
220,222,0 
230,222,-1 
240,251,227 
250,458,229 
260,458,-25 
270,458,-62 
280,458,-154 
290,458,-145 
300,458,-20 
310,458,-4 
320,458,-1 
330,458,-6 
340,458,-18 
350,458,-11 
360,458,-8 
370,458,176 
380,831,632 
390,951,71 
400,951,-94 
410,951,-88 
420,951,-76 
430,951,-37 
440,951,-90 
450,951,-107 
460,951,-180 
470,951,-93 
480,951,-21 
490,951,-7 
500,951,-3 
510,951,-24 
520,951,-52 
530,951,-8 
537,951,-1 
