time,users,connected 
0,21,21 
10,19,19 
20,6,6 
30,0,0 
40,25,23 
50,41,41 
60,13,13 
70,0,0 
80,58,54 
90,90,91 
100,31,31 
110,2,2 
120,60,56 
130,201,198 
140,109,110 
150,30,31 
160,5,5 
170,121,114 
180,405,404 
190,216,219 
200,39,39 
210,7,7 
220,234,233 
230,764,763 
240,415,435 
250,82,92 
260,9,9 
270,0,0 
280,1020,989 
290,1271,1301 
300,438,454 
310,57,64 
320,5,7 
330,0,0 
340,0,0 
350,871,798 
360,3001,2961 
370,1662,1699 
380,312,322 
390,39,41 
400,3,3 
410,0,0 
420,0,0 
430,4141,4087 
440,5530,5561 
450,2149,2171 
460,370,374 
470,42,42 
480,6,6 
490,0,0 
497,0,0 
