time,200,302 
0,4.3,2.2 
10,8.1,5.7 
20,3.6,2.3 
30,0.8,0.4 
40,5.6,3.4 
50,14,8.5 
60,8.4,5.9 
70,2.5,0.9 
80,10.8,5.4 
90,31.2,21.5 
100,18.2,11 
110,4.1,1.4 
120,7.9,1.9 
130,47.4,33.5 
140,53.9,37.9 
150,16.3,7 
160,3.7,1.8 
170,16.1,2.7 
180,103.2,71.3 
190,98.8,69.8 
200,34.5,17 
210,4.5,2.3 
220,34.6,11.1 
230,188.5,123.6 
240,195.1,138.9 
250,71.7,37.3 
260,11.3,4.5 
270,1.6,0.8 
280,200.9,105.8 
290,457.2,325.6 
300,254.7,152.3 
310,65.3,28.9 
320,7.9,3.4 
330,0.7,0 
340,0,0 
350,109.9,29.3 
360,746.2,495.5 
370,802.7,563.5 
380,275.8,140.4 
390,37.9,13.9 
400,4.7,1.6 
410,0.3,0.1 
420,0,0 
430,828.3,440.1 
440,1771.8,1264.8 
450,1054.7,631.1 
460,292.7,156.1 
470,45.6,19.1 
480,4.8,2.2 
490,0.8,0.3 
497,0,0 
