time,200,302 
0,43,22 
10,124,79 
20,160,102 
30,168,106 
40,224,140 
50,364,225 
60,448,284 
70,473,293 
80,581,347 
90,893,562 
100,1075,672 
110,1116,686 
120,1195,705 
130,1669,1040 
140,2208,1419 
150,2371,1489 
160,2408,1507 
170,2569,1534 
180,3601,2247 
190,4589,2945 
200,4934,3115 
210,4979,3138 
220,5325,3249 
230,7210,4485 
240,9161,5874 
250,9878,6247 
260,9991,6292 
270,10007,6300 
280,12016,7358 
290,16588,10614 
300,19135,12137 
310,19788,12426 
320,19867,12460 
330,19874,12460 
340,19874,12460 
350,20973,12753 
360,28435,17708 
370,36462,23343 
380,39220,24747 
390,39599,24886 
400,39646,24902 
410,39649,24903 
420,39649,24903 
430,47932,29304 
440,65650,41952 
450,76197,48263 
460,79124,49824 
470,79580,50015 
480,79628,50037 
490,79636,50040 
497,79636,50040 
