time,request,connect 
0,7.3,1.9 
10,11.9,1.1 
20,6.1,0 
30,0.9,0 
40,1.5,1 
50,17,3.5 
60,19.9,0.6 
70,5.8,0 
80,0.8,0 
90,0.1,0 
100,16.5,5.5 
110,47.9,5.8 
120,30.3,0 
130,5.9,0 
140,0.2,0 
150,7.3,4.8 
160,77.7,15.6 
170,83,2.7 
180,28.6,0 
190,4.6,0 
200,14.7,8.6 
210,150.9,31.6 
220,169.3,4.9 
230,52.3,0 
240,9.1,0 
250,1.1,0 
260,145.5,50.7 
270,375.7,45.3 
280,264.8,0 
290,50.9,0 
300,5.4,0 
310,0.1,0 
320,0.1,0 
330,216.2,95.3 
340,556.7,93.9 
350,533.3,6.2 
360,293.6,6.1 
370,47.4,0.5 
380,6.5,0 
390,0.3,0 
398,0,0 
