time,session 
0,0 
10,3207.593223489369 
20,3351.7732954647245 
30,3592.9485252464274 
40,0 
50,3360.6118047811956 
60,4743.012918682306 
70,5310.934751679947 
80,0.0 
90,2027.909929674042 
100,3702.9768803753796 
110,4214.571777063264 
120,5116.166103763924 
130,0.0 
140,2449.461119855135 
150,3503.0809581986014 
160,3765.439194935192 
170,3502.527510960649 
180,13457.824604759884 
190,2790.937756704482 
200,4251.4774930097865 
210,4062.815832652231 
220,4698.148973924633 
230,1702.1339999999982 
240,2114.2001068722916 
250,3610.9305701822286 
260,4186.425496133184 
270,4215.490511798487 
280,4171.987679650065 
290,0.0 
300,13570.02245684006 
310,2910.8823009467824 
320,4116.838758290712 
330,4324.290153423766 
340,3956.9349596836705 
350,2629.306013871445 
360,0.0 
370,0 
380,2142.3048314788243 
390,3700.1106940367436 
400,4318.10612845174 
410,4333.051797375632 
420,3815.1317230364025 
430,5934.20345090498 
440,0 
450,1389.7589306510206 
460,3000.6705668306117 
470,4159.347096388481 
480,4471.499786557843 
490,4386.041526442654 
500,4076.280777467655 
510,2658.062098923991 
520,0 
530,2183.964213248118 
540,3421.623780219849 
550,4364.400819599135 
560,4525.484712700296 
570,4684.888284273841 
580,3729.0450034055993 
590,2873.0211193959294 
592,0 
