time,users_count,finish_users_count 
0,1.7,0.1 
10,1.3,0.6 
20,0,1.7 
30,0,0.6 
40,3.3,0 
50,2.3,1.6 
60,0,3 
70,0,0.9 
80,2.6,0.1 
90,7.4,1.2 
100,1.1,5 
110,0,4.2 
120,0,0.6 
130,5.1,0.1 
140,15.6,1.7 
150,1.6,11.9 
160,0,7.5 
170,0,1 
180,27.9,0.5 
190,20.1,11.8 
200,0,25.6 
210,0,8.9 
220,0,1.2 
230,22.6,0.2 
240,63.2,9.1 
250,9.5,41.4 
260,0,34.3 
270,0,9.7 
280,0,0.6 
290,0,0.1 
300,104.1,1.6 
310,79.6,48.9 
320,0,88.1 
330,0,39.1 
340,0,5 
350,0,1 
360,0,0.1 
370,80.8,0 
380,243.2,32.5 
390,41,159.3 
400,0,135.4 
410,0,32.7 
420,0,4.6 
430,0,0.5 
440,0,0 
450,422.3,6.1 
460,317.7,183.2 
470,0,361.8 
480,0,160.8 
490,0,25.2 
500,0,2.6 
510,0,0.3 
520,374.6,0 
530,732.5,85.2 
540,88,251.5 
550,0,463.8 
560,0,340.5 
570,0,50.2 
580,0,2.9 
590,0,1 
592,0,0 
