time,users,connected 
0,16,15 
10,28,9 
20,28,-18 
30,28,-6 
40,33,33 
50,49,9 
60,49,-30 
70,49,-11 
80,49,24 
90,89,62 
100,95,-37 
110,95,-43 
120,95,-6 
130,95,43 
140,191,145 
150,195,-97 
160,195,-80 
170,195,-10 
180,276,273 
190,432,88 
200,432,-258 
210,432,-91 
220,432,-12 
230,432,224 
240,770,520 
250,818,-277 
260,818,-355 
270,818,-105 
280,818,-7 
290,818,-1 
300,1026,992 
310,1606,378 
320,1606,-893 
330,1606,-412 
340,1606,-54 
350,1606,-11 
360,1606,-1 
370,1606,743 
380,2915,2129 
390,3162,-1097 
400,3162,-1383 
410,3162,-339 
420,3162,-48 
430,3162,-5 
440,3162,0 
450,4163,4119 
460,6522,1406 
470,6522,-3622 
480,6522,-1620 
490,6522,-254 
500,6522,-24 
510,6522,-5 
520,6522,3319 
530,10219,6709 
540,10847,-1327 
550,10847,-4551 
560,10847,-3564 
570,10847,-536 
580,10847,-40 
590,10847,-10 
592,10847,0 
