time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,0.6,1.1,3,,,0.9,,0.4, 
10,1.9,3,8.9,,,2.3,,1.7, 
20,3.6,4.1,14.9,0.1,,3.9,0.1,3,0.1 
30,1.9,0.4,5.9,0,0.1,1.3,0,2.2,0 
40,0,0,0,0,0,0,0,0,0 
50,0,0,0,0,0,0,0,0,0 
60,0,0,0.1,0,0,0,0.1,0,0 
70,0.1,0,1.8,0,0,0,1.5,0.2,0 
80,0.1,0,2.8,0,0,0,2.5,0.2,0 
90,0.2,0,3.8,0,0,0.2,3.1,0.3,0 
100,0,0,0,0,0,0,0,0,0 
110,0,0,0,0,0,0,0,0,0 
120,0,0,0,0,0,0,0,0,0 
130,0,0,0,0,0,0,0,0,0 
140,0,0,0.6,0,0,0,0.4,0.2,0 
140,0,0,0,0,0,0,0,0,0 
