time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,80.8202355988276,30.947933713585723,72.05694024327026,,,47.25650499137659,,10.030005695412141, 
10,86.7219031592819,142.3042852385182,134.4879666448644,,,11.088917262596507,,57.736618899727034, 
20,142.2143626963414,154.35787572716518,1727.5325205723154,0,,28.561611931741208,0,186.01961557202927,0 
30,149.72413301919312,25.833672706372973,241.91708937105201,0,0,28.97814034260957,0,191.154715219988,0 
40,0,0,0,0,0,0,0,0,0 
50,0,0,0,0,0,0,0,0,0 
60,0,0,0.0,0,0,0,0.0,0,0 
70,0.0,0,5812.073863377909,0,0,0,7.298767050821848,239.52050000000418,0 
80,0.0,0,3975.4814266410044,0,0,0,1.5704811369760043,1830.5159999999978,0 
90,0.20200000000295404,0,1.4568967639302661,0,0,0.08950000000004366,1.4621079390343172,1.227713412088612,0 
100,0,0,0,0,0,0,0,0,0 
110,0,0,0,0,0,0,0,0,0 
120,0,0,0,0,0,0,0,0,0 
130,0,0,0,0,0,0,0,0,0 
140,0,0,18.92099034068357,0,0,0,14.768550487439779,22.821500000000015,0 
140,0,0,0,0,0,0,0,0,0 
