time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,362.106,167.23,361.896,,,145.812,,83.335, 
10,451.737,644.459,644.314,,,145.812,,316.81, 
20,703.904,715.664,21272.188,85.418,,174.154,21272.417,835.32,33.247 
30,703.904,715.664,21272.188,85.418,769.829,174.154,21272.417,835.32,33.247 
40,703.904,715.664,21272.188,85.418,769.829,174.154,21272.417,835.32,33.247 
50,703.904,715.664,21272.188,85.418,769.829,174.154,21272.417,835.32,33.247 
60,703.904,715.664,60033.242,85.418,769.829,174.154,60033.419,835.32,33.247 
70,44436.899,715.664,60033.865,85.418,769.829,174.154,60034.043,44640.73,33.247 
80,48612.68,715.664,60033.865,85.418,769.829,174.154,60034.043,48456.332,33.247 
90,60007.093,715.664,60033.865,85.418,769.829,60003.998,60034.043,60006.506,33.247 
100,60007.093,715.664,60033.865,85.418,769.829,60003.998,60034.043,60006.506,33.247 
110,60007.093,715.664,60033.865,85.418,769.829,60003.998,60034.043,60006.506,33.247 
120,60007.093,715.664,60033.865,85.418,769.829,60003.998,60034.043,60006.506,33.247 
130,60007.093,715.664,60033.865,85.418,769.829,60003.998,60034.043,60006.506,33.247 
140,60007.093,715.664,60049.904,85.418,769.829,60003.998,60039.267,60050.059,33.247 
140,60007.093,715.664,60049.904,85.418,769.829,60003.998,60039.267,60050.059,33.247 
