time,size_sent,size_rcv 
0,14.89921875,61.246875 
10,71.065625,717.090625 
20,102.5578125,1739.05625 
30,110.19140625,1933.084375 
40,111.87734375,1940.509375 
50,144.48515625,2194.94375 
60,249.39375,3903.3234375 
70,305.83984375,5324.95625 
80,315.7328125,5888.76953125 
90,320.40625,6037.04140625 
100,381.99921875,6412.403125 
110,621.728125,9678.45859375 
120,739.94609375,13004.690625 
130,767.25703125,14097.70703125 
140,781.74375,14203.12734375 
150,1086.7859375,17295.55625 
160,1507.03125,25094.08203125 
170,1636.40390625,29276.39140625 
180,1672.25546875,31948.1765625 
190,1684.96796875,32565.03828125 
200,1687.44296875,32572.23046875 
210,1720.1203125,32821.33046875 
220,2370.9796875,38833.7875 
230,3157.04140625,52713.99609375 
240,3378.6703125,61314.409375 
250,3458.44765625,65568.659375 
260,3481.84296875,66609.52421875 
270,3527.459375,66951.41796875 
280,4597.025,77651.8875 
290,6182.8140625,104091.1390625 
300,6743.7625,119779.45078125 
310,6814.56015625,122909.37265625 
320,6836.09375,125860.0546875 
330,6908.075,139718.48046875 
340,6968.471875,140257.14921875 
350,6979.553125,140284.99765625 
360,7076.2203125,141057.40390625 
370,9261.96640625,163381.29296875 
380,12393.540625,222291.2328125 
390,13402.8484375,251291.18046875 
400,13513.73359375,254264.95703125 
410,13517.94921875,254391.759375 
420,13518.82578125,254398.16875 
430,13527.6953125,254434.1296875 
440,13616.12109375,254768.40390625 
450,13741.71953125,255227.4984375 
460,13794.37109375,255416.09609375 
470,13806.22109375,255456.97109375 
480,14012.16796875,257161.1296875 
490,17634.66640625,276886.609375 
500,22190.11875,311118.55390625 
510,25225.5484375,376482.884375 
520,25985.63984375,408915.85859375 
530,26026.7796875,410628.31796875 
540,26027.9453125,410635.93125 
550,26045.3890625,410708.72734375 
560,26166.284375,411163.40390625 
570,26397.190625,412012.05703125 
580,26558.0109375,412585.5171875 
590,26594.80234375,412715.18046875 
593,26600.7640625,412736.165625 
