time,users,connected 
0,16,16 
10,25,26 
20,10,10 
30,1,2 
40,0,0 
50,35,33 
60,35,36 
70,12,12 
80,4,4 
90,0,0 
100,68,65 
110,94,94 
120,34,35 
130,6,7 
140,38,33 
150,187,183 
160,127,127 
170,41,42 
180,13,13 
190,3,3 
200,1,1 
210,85,85 
220,391,391 
230,257,257 
240,90,93 
250,23,27 
260,7,7 
270,144,124 
280,690,686 
290,520,539 
300,178,183 
310,101,103 
320,85,85 
330,52,54 
340,11,12 
350,1,1 
360,321,290 
370,1397,1374 
380,977,1000 
390,329,336 
400,186,187 
410,181,181 
420,179,179 
430,177,177 
440,137,138 
450,52,52 
460,13,13 
470,1,1 
480,643,638 
490,2995,2371 
500,3060,3077 
510,1455,1547 
520,424,435 
530,356,356 
540,354,354 
550,346,347 
560,286,290 
570,152,160 
580,37,41 
590,5,6 
593,0,0 
