time,sentpackets@tsung_controller@ip-172-31-29-147 
10,406 
20,427 
30,427 
40,427 
50,427 
60,439 
70,860 
80,860 
90,860 
100,860 
110,889 
120,1866 
130,1866 
140,1866 
150,1866 
160,3032 
170,3292 
180,3292 
190,3292 
200,3292 
210,3292 
220,3292 
230,6534 
240,6534 
250,6534 
260,6534 
270,6534 
280,6534 
290,11438 
300,13018 
310,13018 
320,13018 
330,13018 
340,13018 
350,13018 
360,13018 
370,13018 
380,23893 
390,28013 
400,28013 
410,28013 
420,28013 
430,28013 
440,28013 
450,28013 
460,28013 
470,28013 
480,28013 
490,28013 
500,38968 
510,38968 
520,38968 
530,38968 
540,38968 
550,38968 
560,38968 
570,38968 
580,38968 
590,38968 
593,38968 
