time,error_unknown_msg,error_unknown 
490,0.3,5.1 
500,0.9,24.2 
510,0,59.5 
520,0,19.1 
530,0,0.8 
540,0,0.1 
550,0,0 
560,0,0 
570,0,0 
580,0,0 
590,0,0 
593,0,0 
