time,users_count,finish_users_count 
0,14,0 
10,30,7 
20,30,25 
30,30,29 
40,47,30 
50,82,36 
60,85,58 
70,85,77 
80,85,84 
90,119,85 
100,205,102 
110,205,158 
120,205,195 
130,205,204 
140,267,205 
150,413,230 
160,432,334 
170,432,415 
180,432,430 
190,534,432 
200,856,478 
210,896,692 
220,896,854 
230,896,895 
240,1149,896 
250,1716,997 
260,1792,1427 
270,1792,1720 
280,1792,1784 
290,1792,1792 
300,2842,1816 
310,3620,2307 
320,3620,3173 
330,3620,3548 
340,3620,3613 
350,3620,3620 
360,3620,3620 
370,4560,3620 
380,6990,3957 
390,7285,5650 
400,7285,6973 
410,7285,7239 
420,7285,7282 
430,7285,7285 
440,7285,7285 
450,11653,7357 
460,14842,7852 
470,14842,9365 
480,14842,13490 
490,14842,14717 
500,14842,14834 
510,14842,14840 
517,14842,14842 
