time,recvpackets@tsung_controller@ip-172-31-31-91 
10,252 
20,859 
30,859 
40,859 
50,859 
60,1230 
70,1230 
80,1230 
90,1230 
100,1230 
110,3244 
120,3244 
130,3244 
140,3244 
150,3244 
160,5553 
170,6005 
180,6005 
190,6005 
200,6005 
210,11068 
220,11991 
230,11991 
240,11991 
250,11991 
260,23114 
270,26556 
280,26556 
290,26556 
300,26556 
310,26556 
320,63551 
330,63551 
340,63551 
350,63551 
360,63551 
370,63551 
380,63551 
390,109829 
400,166452 
410,166452 
420,166452 
430,166452 
440,166452 
450,166452 
460,166452 
470,186375 
480,365697 
490,365697 
500,365697 
510,365697 
517,365697 
