time,users,connected 
0,14,13 
10,23,23 
20,5,5 
30,1,1 
40,17,15 
50,46,46 
60,27,27 
70,8,8 
80,1,1 
90,34,30 
100,103,103 
110,47,52 
120,10,10 
130,1,1 
140,62,60 
150,183,180 
160,98,104 
170,17,17 
180,2,2 
190,102,100 
200,378,378 
210,204,204 
220,42,43 
230,1,1 
240,253,224 
250,719,721 
260,365,383 
270,72,84 
280,8,9 
290,0,0 
300,1026,999 
310,1313,1346 
320,447,471 
330,72,73 
340,7,7 
350,0,0 
360,0,0 
370,940,884 
380,3033,2911 
390,1635,1660 
400,312,324 
410,46,47 
420,3,3 
430,0,0 
440,0,0 
450,4296,3823 
460,6990,6343 
470,5477,5438 
480,1352,1347 
490,125,139 
500,8,11 
510,2,3 
517,0,0 
