time,request,connect 
0,4,1.3 
10,13.4,1.7 
20,8.3,0 
30,1.2,0 
40,3.2,1.5 
50,19.2,3.7 
60,17.8,0.3 
70,6.2,0 
80,1.2,0 
90,5.2,3 
100,47.1,9 
110,39.6,0 
120,12.2,0 
130,1.3,0 
140,11.8,6 
150,76.9,14.4 
160,83.6,2.3 
170,24.7,0 
180,3.2,0 
190,18,10 
200,165.3,32.3 
210,167.7,4.1 
220,50.2,0 
230,7.3,0 
240,42.2,22.4 
250,307.5,57.7 
260,328.4,9.5 
270,95.2,0 
280,13.3,0 
290,1.9,0 
300,317.7,101.9 
310,770.6,80.9 
320,419.2,0 
330,93.7,0 
340,13.9,0 
350,1.2,0 
360,0,0 
370,165.2,88.4 
380,1253.7,249.9 
390,1331.6,72 
400,418.3,0.7 
410,57.6,0 
420,7.7,0 
430,0.7,0 
440,0,0 
450,1262.3,456.2 
460,1966.9,798.4 
470,1764.1,115.6 
480,1392.9,6.1 
490,215.5,1 
500,21.2,0 
510,1.5,0 
517,0.3,0 
