time,recvpackets@tsung_controller@ip-172-31-16-38 
10,642 
20,1448 
30,1448 
40,1448 
50,1448 
60,1448 
70,1448 
80,1448 
90,2231 
100,4198 
110,4198 
120,4198 
130,4198 
140,6938 
150,6938 
160,6938 
170,6938 
180,6938 
190,6938 
200,13277 
210,13277 
220,13277 
230,13277 
240,26375 
250,26375 
260,26375 
270,26375 
280,26375 
290,26903 
300,65693 
310,65693 
320,65693 
330,65693 
340,65693 
350,65693 
360,65693 
370,114541 
380,139699 
390,139699 
400,139699 
410,139699 
420,139699 
430,139699 
440,139699 
450,176951 
460,319645 
470,319645 
480,319645 
490,319645 
497,319645 
