time,users_count,finish_users_count 
0,2.1,0 
10,0.9,1.3 
20,0,1.3 
30,1.4,0.4 
40,3,0.6 
50,0.2,2.5 
60,0,1.1 
70,0,0.4 
80,8.2,0.3 
90,3.8,4.1 
100,0,6.2 
110,0,1.1 
120,6.2,0.3 
130,14.3,3.8 
140,2.4,10.3 
150,0,6.8 
160,0,1.8 
170,0,0.1 
180,11,0.1 
190,31.6,5.7 
200,4.1,23.1 
210,0,15.7 
220,20.3,2.2 
230,58.7,12.3 
240,9.5,42.5 
250,0,28.6 
260,0,4.7 
270,0,0.4 
280,94.8,3.3 
290,84.1,54.6 
300,0,88 
310,0,29.2 
320,0,3.4 
330,0,0.4 
340,0,0 
350,84.7,0.1 
360,247.5,41.1 
370,39.1,185 
380,0,123.7 
390,0,19.2 
400,0,2 
410,0,0.1 
420,0,0.1 
430,408.9,9 
440,341.8,54.6 
450,0,236 
460,0,399.2 
470,0,47.4 
480,0,4.3 
490,0,0.2 
497,0,0 
