time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Register,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Post_New_Book,tr_Reply_To_Conversation 
10,1.9969999999999928,44.139709381811436,0,1.4114285907075375,0,0.8483974230866098,1.455,0,6.8195,0.6400000000000006,5.1694943427766695,39.95350783932077,2.1064938389022965,0,11.54829041700786,3.529288345009829,0,1.3387232113975955,3.2489694273482685,12.106285486709552,11.223279140548307,5.56832238849568,11.981967484516057,16.186891105875436,5.028525498344421,0 
20,0,34.762684380270656,25.279,4.49943679142179,17.118742614091143,4.911999999999999,0,0.0,9.211999999999998,2.219021856584564,25.989867063915508,13.11615633636623,0,33.70713683414175,0,0.0,2.0232531354232455,0,0.0,0,31.26920941197586,12.432146234661174,4.093556117546212,0,5.294671708425368,22.322999999999993 
30,0,50.14922008084928,5.315999999999992,0,0,0,0,0,0,0.5275000000000016,0.0,0,4.1895934170274804,0.0,0,0,0,21.098526926594243,0.9775000000000063,0,0.0,0,0,0,0,27.641000000000002 
40,0.9812403821184714,47.7517980864106,0,2.5642902892418395,0,0.8033446748853609,1.7649007450845495,0,0,5.716337436462264,10.641910193193702,3.9747805835668477,2.691312426842185,0,12.758633294971508,0,0,11.588452789738584,36.48219948246542,7.0093600754039365,0.0,6.182506708447634,0.5310000000000024,19.89174321728044,1.6988980803744522,0 
50,1.6591572220558284,48.885125322370016,0.0,27.04463430127677,138.76471658410387,2.0920908650199683,2.1872626728401863,0.38141498103129345,8.288781990672025,1.6432012171368422,1.2412774535399667,5.034285244040841,2.203899511740777,0.0,0.0,5.230786279522497,4.882578485458961,0.0,2.3892419291678593,7.455390231235385,6.640635092933506,6.319268191192888,16.156384849641405,13.28125326117607,1.1932386484782578,0.0 
60,0,46.293608317632,22.051794928203815,3.922808631013697,0.0,0,0,0.0,0.0,0.0,1.606399225666592,0.6538380703371607,0.6987084911145386,44.05740342124377,0,5.57,0.0,0,2.949826209570093,1.2634999999999978,1.7039284674604815,4.077910433052695,15.378644334126315,2.4415000000000013,0,21.895267865200662 
70,0,51.32859710309088,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,8.776522026912989,0,0.0,0,0,0 
80,8.933999999999997,42.86768150287506,0,1.172500000000002,0.0,1.146435732559348,1.5579663627626883,0,7.465226468247444,0,1.72276659984579,0.23200000000000065,1.707800029325825,0,0.9079479644631834,8.159687294866146,0.0,2.7013659893434276,3.5198526228411926,8.510393372811858,0,1.3130436211415084,30.03901920809624,13.437543940765368,0,0 
90,2.7764341321198267,42.0739112178857,20.370959800350597,2.4881268951323596,24.216124697129775,0.7695496403019687,2.3130061941812836,0.5844885703663408,6.851722628623537,2.004138530641034,3.4213302035276048,1.9565484261325234,1.1334218732057273,25.11201446851022,0.35147154934645863,3.6924133524906138,8.496580436232861,1.0259696815695871,2.2468625162937323,12.04772153762959,6.734948519146643,3.6021715381141974,10.695285544990785,8.850990515426316,0.7297000437482192,17.97540053795742 
100,0.0,39.996665556098556,18.770583383581872,3.341172658569892,23.39255812619688,0.8096730254635294,0,0.5459680038468281,0.9639999999999991,39.29035361759366,1.5114792276364777,1.2659824988916715,1.1481300739318117,23.468363805078106,0,6.271426354573045,7.294169223884691,0,2.3057713683940535,1.1395000000000008,8.722563482993042,4.045778164951707,7.1225215955647805,6.646000000000001,0.9259411919280254,24.22118156160017 
110,0,49.0647242833533,27.86153384546914,0,0.0,0.0,0,0,0.0,0.6840000000000028,0.9652788133487654,0,0.2519999999999998,21.319545481917658,0,0.0,0.0,0,1.908063809205551,0,1.3089523243800734,0,0,0,0.6500000000000012,5.764481840450961 
