time,users,connected 
0,21,18 
10,28,1 
20,28,-13 
30,28,6 
40,39,26 
50,40,-22 
60,40,-11 
70,40,-5 
80,79,77 
90,104,0 
100,104,-62 
110,104,-12 
120,104,55 
130,167,107 
140,181,-76 
150,181,-68 
160,181,-19 
170,181,-1 
180,181,106 
190,370,260 
200,385,-186 
210,385,-159 
220,385,181 
230,667,464 
240,699,-330 
250,699,-274 
260,699,-58 
270,699,-5 
280,915,874 
290,1471,372 
300,1471,-901 
310,1471,-301 
320,1471,-40 
330,1471,-4 
340,1471,0 
350,1471,773 
360,2910,2054 
370,3093,-1333 
380,3093,-1274 
390,3093,-195 
400,3093,-23 
410,3093,-1 
420,3093,-1 
430,3999,3615 
440,7139,2701 
450,7139,-1803 
460,7139,-3993 
470,7139,-475 
480,7139,-43 
490,7139,-2 
497,7139,0 
