time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Register,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Post_New_Book,tr_Reply_To_Conversation 
10,133.96,195.461,81.078,29.435,84.131,13.246,12.125,13.281,27.562,45.252,45.701,102.466,41.202,95.23,47.92,35.575,80.328,47.017,150.578,65.515,58.316,53.138,123.837,126.059,27.25,114.534 
20,133.96,195.461,84.069,29.435,84.131,23.025,12.125,13.728,33.599,45.252,91.569,102.466,41.202,115.763,47.92,35.575,80.328,47.017,150.578,65.515,95.75,67.988,123.837,126.059,29.725,114.534 
30,133.96,196.968,98.999,29.435,84.131,23.025,12.125,13.728,33.599,45.252,91.569,102.466,41.202,115.763,47.92,35.575,80.328,90.743,150.578,65.515,95.75,67.988,123.837,126.059,29.725,114.534 
40,133.96,306.733,98.999,29.435,84.131,23.025,12.125,13.728,33.599,50.376,91.569,102.466,41.202,115.763,47.92,35.575,80.328,90.743,306.903,65.515,95.75,67.988,123.837,126.059,29.725,114.534 
50,133.96,333.299,98.999,96.566,333.601,23.025,13.729,14.418,33.599,50.376,91.569,102.466,41.202,115.763,47.92,39.596,81.911,90.743,306.903,65.515,95.75,67.988,123.837,126.059,29.725,145.092 
60,133.96,333.299,98.999,96.566,333.601,23.025,13.729,15.857,33.599,50.376,91.569,102.466,41.202,143.489,47.92,39.596,81.911,90.743,306.903,65.515,95.75,67.988,123.837,126.059,29.725,145.092 
70,133.96,333.299,98.999,96.566,333.601,23.025,13.729,15.857,33.599,50.376,91.569,102.466,41.202,143.489,47.92,39.596,81.911,90.743,306.903,65.515,95.75,67.988,131.646,126.059,29.725,145.092 
80,147.184,333.299,98.999,96.566,333.601,23.025,13.729,15.857,33.599,50.376,91.569,102.466,41.202,143.489,47.92,39.596,81.911,90.743,306.903,65.515,95.75,67.988,170.159,126.059,29.725,145.092 
90,147.184,333.299,98.999,96.566,333.601,23.025,14.173,15.857,33.599,50.376,91.569,102.466,41.202,143.489,47.92,39.596,85.985,90.743,306.903,68.805,95.75,67.988,170.159,126.059,29.725,145.092 
100,147.184,333.299,98.999,96.566,333.601,23.025,14.173,15.857,33.599,194.423,91.569,102.466,41.202,143.489,47.92,39.596,85.985,90.743,306.903,68.805,95.75,67.988,170.159,126.059,29.725,145.092 
110,147.184,333.299,98.999,96.566,333.601,23.025,14.173,15.857,33.599,194.423,91.569,102.466,41.202,143.489,47.92,39.596,85.985,90.743,306.903,68.805,95.75,67.988,170.159,126.059,29.725,145.092 
