time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Register,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Post_New_Book,tr_Reply_To_Conversation 
10,129.966,6.906,81.078,26.151,84.131,10.84,9.215,13.281,13.923,43.972,22.332,13.046,7.037,95.23,20.516,25.558,80.328,19.897,116.708,29.22,32.032,41.08,83.886,80.722,15.856,114.534 
20,129.966,6.906,33.511,19.708,38.248,10.84,9.215,13.281,13.923,39.933,22.332,13.046,7.037,34.128,20.516,21.074,64.743,19.897,116.708,29.22,20.124,38.216,83.886,80.722,15.856,61.392 
30,129.966,6.906,33.511,19.708,38.248,10.84,9.215,13.281,13.923,39.933,22.332,13.046,7.037,34.128,20.516,21.074,64.743,19.897,116.708,29.22,20.124,38.216,83.886,80.722,15.856,53.415 
40,129.966,5.509,33.511,18.952,38.248,10.84,5.727,13.281,13.923,34.961,22.332,13.046,6.164,34.128,19.457,21.074,64.743,18.76,115.955,23.408,18.362,36.964,79.941,77.843,15.659,53.415 
50,128.619,5.509,33.511,18.664,36.728,10.731,5.727,13.257,12.808,34.961,22.332,13.046,6.08,34.128,19.457,21.074,64.743,18.76,115.955,20.712,17.079,34.006,76.162,77.843,15.659,53.415 
60,128.619,5.509,33.511,18.664,36.728,10.731,5.727,13.257,12.808,34.961,22.332,13.046,6.08,34.128,19.457,21.074,64.743,18.76,115.955,19.795,17.079,34.006,76.162,77.843,15.659,52.176 
70,128.619,5.509,33.511,18.664,36.728,10.731,5.727,13.257,12.808,34.961,22.332,13.046,6.08,34.128,19.457,21.074,64.743,18.76,115.955,19.795,17.079,34.006,76.162,77.843,15.659,52.176 
80,128.619,5.509,33.511,16.255,36.728,9.02,5.727,13.257,12.808,34.961,21.234,13.046,6.08,34.128,18.687,18.823,64.743,16.832,115.955,19.199,17.079,34.006,71.662,76.246,15.659,52.176 
90,127.241,5.509,33.4,15.892,31.238,9.02,5.727,11.673,11.586,31.996,20.813,12.383,6.08,34.128,18.686,17.207,63.408,16.832,115.955,17.341,16.541,32.252,71.662,76.246,13.807,52.176 
100,127.241,5.509,33.4,15.892,31.238,9.02,5.727,11.673,11.586,31.996,20.813,12.357,5.904,34.101,18.686,16.923,63.408,16.832,115.955,17.341,16.541,32.252,71.487,76.246,13.807,45.014 
110,127.241,5.509,33.4,15.892,31.238,9.02,5.727,11.673,11.586,31.996,20.813,12.357,5.904,34.101,18.686,16.923,63.408,16.832,115.955,17.341,16.541,32.252,71.487,76.246,13.807,45.014 
120,127.241,5.509,33.4,15.892,31.238,9.02,5.727,11.673,11.586,31.996,20.813,12.357,5.904,34.101,18.686,16.923,63.408,16.832,115.955,17.341,16.541,32.252,71.487,76.246,13.807,45.014 
130,127.241,5.509,33.4,13.5,30.65,8.479,5.727,11.609,11.158,31.996,20.747,12.357,5.622,29.457,17.547,16.923,63.408,16.619,115.955,16.084,15.865,30.68,71.487,76.246,13.263,45.014 
140,127.241,5.509,29.876,13.5,30.65,8.479,5.727,11.459,11.158,31.996,20.18,12.357,5.622,28.543,17.547,16.64,63.408,16.619,115.955,16.084,15.195,28.679,71.487,76.246,12.631,45.014 
150,127.241,5.509,28.351,13.5,30.65,8.479,5.727,11.459,11.158,31.543,20.18,12.357,5.622,28.543,17.547,16.64,63.408,16.619,115.955,16.084,15.195,28.679,68.585,76.246,12.631,45.014 
160,127.241,5.509,28.351,13.5,30.65,8.479,5.727,11.459,11.158,31.543,20.18,12.357,5.622,28.543,17.547,16.64,63.408,16.619,115.955,16.084,15.195,28.679,68.585,76.246,12.631,45.014 
170,127.241,5.509,28.351,13.5,30.65,8.479,5.727,11.459,11.158,31.543,20.18,12.357,5.622,28.543,17.547,16.64,63.408,16.619,115.955,16.084,15.195,28.679,68.585,76.246,12.631,45.014 
180,127.241,5.128,28.351,13.5,30.65,8.479,5.727,11.459,11.158,31.543,20.18,12.357,5.344,28.543,17.547,16.64,63.408,16.619,115.955,16.084,15.195,28.679,68.585,76.246,12.631,45.014 
190,127.241,5.128,28.351,13.5,30.65,8.479,5.56,9.707,9.788,30.282,19.547,12.357,5.31,27.101,15.975,16.155,63.408,16.377,115.955,16.084,15.195,28.679,68.585,75.816,12.125,45.014 
