time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Register,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Post_New_Book,tr_Reply_To_Conversation 
320,0,5.5,1.1,0.2,0,0,0,0,0,0.9,0.4,0.2,0,0.7,0,0.2,0,0,0.4,0,0.9,0,0.8,0,0.1,1.1 
330,0,0.4,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1 
340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
350,1.3,131,0,0,0,0.1,3.8,0,0.1,0,7.4,0,44.5,0,7.6,0,0,45.9,17.3,0.8,0,0.6,0.3,1.3,0,0 
360,20.9,1198.8,1.2,24.9,5.5,24.7,24.3,9.1,13.2,7.2,197.7,25.5,224.9,2.2,23.8,23.9,9,150.2,201.5,49.4,11.2,35.6,50.1,49.1,17.2,1.2 
370,15.1,1251.4,13.2,63.3,21,42.2,9.9,21.7,20,34.9,206.4,62.7,90.9,15.5,4.9,67.6,20.8,27.7,133.6,56.3,53.5,61.3,127.9,56.2,43.7,13.3 
380,0.7,312.9,15.7,20.8,9.1,8.3,0,6.8,2.8,29,32.8,20.9,9.7,14.5,0,18.3,5.9,0,16.2,4.4,38.7,12.1,41.2,4.3,13.8,15.6 
390,0,32.6,5.6,1,0.6,0.5,0,0.4,0.2,3.6,2.7,0.9,1.2,3.7,0,1.3,0.6,0,2.4,0.2,6,0.4,2.5,0.2,0.9,5.6 
400,0,2.8,0.5,0,0.1,0,0,0,0,0.8,0.2,0,0.1,0.3,0,0,0,0,0.2,0,0.6,0,0.2,0,0,0.5 
410,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1 
420,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
430,19,1113.8,0,7.9,1.4,12.5,29.2,3.2,6,1.9,142.4,8.9,296.8,0.2,40,7.5,3.1,232.4,203.5,27.9,3.2,18.1,15.1,29,5.6,0 
440,37.4,1901,0.8,36.5,8.7,54.4,42.5,16.5,24.8,14.2,352.9,42.3,362.7,3.6,35.7,20.6,17.9,221.5,374,43,18.6,53.2,34.7,53.2,40.1,1.1 
450,20.4,1890.2,11.2,124.5,38.1,71.8,5.5,39.7,38.3,71.7,343.6,124.8,63.1,21.9,0.1,70.4,41.5,0.2,133.5,132.8,83.4,132.9,145.5,125.5,80.4,13.7 
460,0.2,936,52.3,55.1,26.5,10.2,0,17,6.6,53,58.8,48,25.6,42.5,0,117.8,12.9,0,34.3,16.5,102,21.3,233,12.5,22.6,49.8 
470,0,66.9,10.1,1.4,1.1,0.3,0,0.4,0.1,7.4,3.7,1.4,1.7,6.8,0,3.8,0.4,0,3.6,0,16.1,0,11.7,0,0.5,9.8 
480,0,5.2,1.4,0,0,0,0,0,0,0.8,0.1,0,0,0.8,0,0,0,0,0.1,0,1.8,0,0.3,0,0,1.4 
490,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0 
497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
