time,tr_Post_Register,page,tr_Redirect_To_Same_Conversation,tr_Post_New_Post,tr_Post_New_Conversation,tr_Get_New_Book,tr_Get_Register,tr_Get_Logout,tr_Get_Conversations,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Get_New_Post,tr_Get_Login,tr_Redirect_To_New_Conversation,tr_Get_Root,tr_Post_New_Comment_On_Comment,tr_Get_New_Conversation,tr_Initial_Get_Root,tr_Post_Login,tr_Post_New_Comment_On_Post,tr_Redirect_To_New_Post,tr_Get_Book,tr_Redirect_To_Post,tr_Get_Post,tr_Post_New_Book,tr_Reply_To_Conversation 
10,131.96300000000002,53.824107438016526,81.078,28.105,0,11.51275,10.67,13.281,20.7425,44.612,28.535199999999996,46.275,10.092199999999998,95.23,31.601333333333333,32.42333333333333,0,22.012142857142862,121.23631250000001,46.476000000000006,47.5,48.949333333333335,103.56499999999998,112.06257142857142,20.94475,114.534 
20,0,49.252636363636356,58.790000000000006,25.2134,50.38125,18.113,0,13.728,24.387,42.887,39.648,25.8704,0,78.51333333333334,0,21.074,67.77850000000001,0,123.929,0,42.453500000000005,49.874,102.38125000000001,0,20.683,83.715 
30,0,50.95711538461539,93.68299999999999,0,0,0,0,0,0,42.5805,26.648,0,12.228,86.242,0,0,0,34.64716666666667,122.5415,0,46.625,0,0,0,0,81.056 
40,132.24975,45.48438620689655,0,22.51875,0,12.421,8.991400000000002,0,0,41.33425,28.7632,17.089750000000002,9.405296296296292,0,29.346333333333334,0,0,25.113799999999998,129.01003999999998,33.179,18.362,43.867,80.47200000000001,105.80933333333333,17.23125,0 
50,131.09425000000002,49.633946666666674,66.81,30.328285714285716,137.38,12.82925,10.636000000000001,13.92057142857143,24.41033333333333,38.8104,25.7305,18.905285714285718,9.265181818181818,79.917,19.494,31.63942857142857,75.069,20.798,121.4044375,27.582,24.233750000000004,39.235166666666665,96.18458333333335,98.79525,17.543833333333332,145.092 
60,0,56.10192857142857,68.37833333333333,22.325333333333333,82.7,0,0,15.857,29.775,38.632,26.485166666666668,15.812333333333333,7.886666666666667,88.39066666666668,0,28.789,68.216,0,119.519,21.058500000000002,20.713333333333335,42.236000000000004,98.83133333333335,91.6985,0,70.76766666666667 
70,0,58.120999999999995,0,34.872,0,0,0,0,0,0,27.464,13.589,0,0,0,0,0,0,117.349,0,27.713333333333335,0,131.646,0,0,0 
80,138.25,41.71337190082642,0,17.427500000000002,37.518,10.546333333333333,9.10825,0,19.145666666666667,0,25.021129032258067,15.146999999999998,8.381472727272724,0,19.906777777777776,24.0965,67.807,20.717549019607848,122.64997435897436,26.0448,0,38.53685714285714,97.778625,98.2252,0,0 
90,131.9329,45.95405588822351,46.85025,18.312090909090912,50.50371428571428,11.375466666666666,9.264111111111111,12.154666666666666,16.774142857142856,36.498,24.64695454545455,14.485272727272724,7.631074074074077,64.32600000000001,19.0335,22.33105263157895,75.033875,19.55575,122.62378787878787,24.23720833333334,22.035666666666668,36.22690000000001,90.666,91.61574999999999,14.938,66.52499999999999 
100,129.724,46.12243999999999,46.7512,18.801375,57.73225,11.704142857142855,0,13.735285714285714,13.873999999999999,47.65826666666667,25.645608695652164,15.18925,7.315666666666666,73.72425000000001,0,23.66425,73.219,0,121.16518181818182,19.420499999999997,23.4643125,40.3128,81.89148148148149,104.63,16.217,73.5356 
