time,users,connected 
0,12,11 
10,29,12 
20,29,-13 
30,29,-7 
40,29,-2 
50,36,34 
60,49,3 
70,49,-25 
80,49,-9 
90,49,26 
100,96,64 
110,102,-42 
120,102,-35 
130,102,-17 
140,166,158 
150,220,9 
160,220,-118 
170,220,-40 
180,220,-9 
190,272,270 
200,413,67 
210,413,-233 
220,413,-82 
230,413,-20 
240,413,194 
250,770,558 
260,816,-297 
270,816,-358 
280,816,-92 
290,816,-6 
300,816,445 
310,1542,1064 
320,1635,-637 
330,1635,-700 
340,1635,-151 
350,1635,-19 
360,1635,-3 
370,1635,0 
380,2167,2102 
390,3424,646 
400,3424,-891 
410,3424,-1131 
420,3424,-592 
430,3424,-118 
440,3424,-14 
450,3424,-2 
452,3424,0 
