time,nomatch,match,match_stop 
70,0.2,0,0.2 
80,0.4,0,0.4 
90,0.3,2.5,0.3 
100,0,20,0 
110,0,16.6,0 
120,0,5.5,0 
130,0,0.2,0 
140,0,0,0 
150,0,0,0 
160,0.4,0,0.4 
170,0.8,0,0.8 
177,0.3,0,0.3 
