time,nomatch,match,match_stop 
70,2,209,2 
80,6,209,6 
90,9,234,9 
100,9,434,9 
110,9,600,9 
120,9,655,9 
130,9,657,9 
140,9,657,9 
150,9,657,9 
160,13,657,13 
170,21,657,21 
177,24,657,24 
