time,request,connect 
0,6.977,0.975 
10,5.67,0.737 
20,5.67,0.737 
30,5.67,0.737 
40,5.67,0.737 
50,4.783,0.648 
60,4.269,0.548 
70,4.269,0.548 
80,4.269,0.548 
90,4.269,0.519 
100,4.269,0.519 
110,4.269,0.519 
120,4.269,0.519 
130,4.259,0.519 
140,3.987,0.519 
150,3.949,0.519 
160,3.949,0.519 
170,3.949,0.519 
180,3.949,0.519 
190,3.624,0.394 
200,3.482,0.394 
210,3.482,0.394 
220,3.482,0.394 
230,3.45,0.378 
240,3.253,0.378 
250,3.207,0.378 
260,3.207,0.378 
270,3.207,0.378 
280,3.207,0.378 
290,3.207,0.378 
300,3.201,0.318 
310,3.201,0.318 
320,3.201,0.318 
330,3.201,0.318 
340,3.201,0.318 
350,3.201,0.318 
360,3.201,0.318 
370,3.201,0.318 
380,3.201,0.318 
390,3.201,0.243 
400,3.201,0.235 
410,3.201,0.235 
420,3.201,0.235 
430,3.201,0.235 
440,3.201,0.235 
450,3.201,0.235 
460,2.162,0.235 
470,2.071,0.235 
480,2.061,0.235 
490,2.061,0.235 
497,2.061,0.235 
