time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Post_New_Book 
0,0.8,1.5,3.9,0.2,1,,0.2,0.2 
10,1.8,1.7,9.7,1.3,1.9,0.4,1.6,1 
20,2,2.8,11.4,1.2,2.4,0.7,1,1.3 
30,2.1,2.6,9.6,0.4,1.8,0.9,1.2,0.6 
40,0.5,4.8,11.5,1.4,2.1,0.5,2.1,0.1 
50,10.8,17.4,61.9,5.4,14.1,2.9,7.2,4.1 
60,13.9,9.1,74.6,11.4,13,6,11.5,9.7 
70,6.9,3.7,40.2,5.7,5.6,5.3,6.5,6.5 
80,3.7,0.2,26.4,6.1,1.7,4,5.8,4.9 
90,1.1,0,16.7,4,0.2,3.6,2.9,4.9 
100,0.2,0,14,3,0,3.8,2.7,4.3 
110,0,0,14.7,3.3,0,5.5,1.1,4.8 
120,0,0,10.7,0.4,0,8.9,0,1.4 
130,0,0,1.3,0,0,1.3,0,0 
132,0,0,0,0,0,0,0,0 
