time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Post_New_Book 
0,31.87326972950845,91.92243662049484,311.0914786810664,35.8295,4.232359857101001,,140.36800000000002,0.1345000000000005 
10,70.66882110316479,490.2386027813925,624.1285390247432,8.627589338104952,6.8614201258955365,447.6541238463994,551.1413201836506,23.744425565593286 
20,124.00840371703647,1477.3965859196949,2438.469356278314,104.34397378848585,92.01893815779174,976.4879069317548,1183.0632285931129,71.85073274973998 
30,546.9725091584023,930.4976368776573,4012.4323434029616,295.71432500757805,699.5732171305552,1215.0172419733574,999.9804568924882,818.874297896339 
40,2351.0090640865337,4308.617053846003,3982.1356849261297,2051.5766763731276,2019.7243516648246,646.979070428835,1466.0725681309204,0.0 
50,2929.018070211947,6993.211922063153,5078.231204993575,3766.9439388696633,3418.7178196974683,6107.023090463946,4507.182190737919,3599.6577632906924 
60,3911.248547198958,8728.17328902325,5923.115370030252,2806.6432139191224,4656.875568926374,0.29989700593148083,2354.76604162925,3685.5767105678146 
70,3833.64981975582,817.1210362025266,7195.327208631849,3980.7197705497124,3911.25246988338,3796.2241097872684,9297.475547536942,3793.957943228076 
80,4235.382249157701,577.1765000000014,6971.959792438712,4176.457083112134,3716.9886422790146,8659.248864469162,7894.205697801646,4062.4305959366343 
90,518.6802084109622,0,5763.244973524396,1274.5102406630144,267.41700000000014,4395.365518292857,3582.155277155427,596.4037765745661 
100,40.365499999999884,0,5058.217901908076,338.69415917443354,0,647.2289865867659,613.0780709801909,305.11175511733035 
110,0,0,5913.89405535348,1055.494330665488,0,573.6979918432677,286.76019258459974,1259.6354959819298 
120,0,0,4936.621013855599,670.0420299810955,0,3387.610898807274,0,782.3153352443957 
130,0,0,1670.7309338044004,0,0,1670.7412033028404,0,0 
132,0,0,0,0,0,0,0,0 
