time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Post_New_Book 
0,244.66,839.243,846.318,81.998,22.461,,846.442,8.856 
10,346.767,2484.184,3127.695,81.998,31.61,1714.676,3127.794,90.322 
20,745.421,7293.723,7293.633,415.954,392.766,6452.427,6885.184,290.543 
30,2125.988,10019.198,10625.379,711.248,2116.006,9821.162,10625.496,2087.778 
40,6848.354,13077.127,13846.404,6911.257,7011.741,11044.304,13846.485,2087.778 
50,10617.929,17599.617,17599.551,10862.702,10729.101,15685.953,16341.942,10574.403 
60,11592.883,21103.694,21103.603,11104.734,11205.119,15685.953,18336.733,11216.972 
70,11592.883,21818.977,21818.919,11104.734,11205.119,20257.567,21699.159,11216.972 
80,11592.883,21818.977,21818.919,11104.734,11205.119,20257.567,21699.159,11216.972 
90,11592.883,21818.977,21818.919,11104.734,11205.119,21233.988,21699.159,11216.972 
100,11592.883,21818.977,21818.919,11104.734,11205.119,21233.988,21699.159,11216.972 
110,11592.883,21818.977,21818.919,11104.734,11205.119,21233.988,21699.159,11216.972 
120,11592.883,21818.977,21818.919,11104.734,11205.119,21233.988,21699.159,11216.972 
130,11592.883,21818.977,21818.919,11104.734,11205.119,21233.988,21699.159,11216.972 
132,11592.883,21818.977,21818.919,11104.734,11205.119,21233.988,21699.159,11216.972 
