time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_To_New_Book,tr_Redirect_Root,tr_Post_New_Book 
0,162.4835,667.8824666666667,332.06576923076926,46.1685,11.991199999999996,,706.0740000000001,8.721499999999999 
10,209.75933333333336,1100.0876470588234,491.2322577319586,19.65446153846154,14.305473684210527,1100.3832499999999,1253.3838125000002,20.3294 
20,403.62955000000005,5046.109107142855,2017.2513771929825,107.89816666666668,80.86175000000001,4285.804428571429,4627.2682,85.65069230769231 
30,849.6659047619048,8220.656307692308,4470.877583333332,379.53725,364.6697777777777,8308.280111111111,9109.937083333332,911.5623333333333 
40,4514.6993999999995,8631.064354166669,7627.4905043478175,4777.351928571428,4544.506095238095,10385.308800000003,10765.097095238094,1.084 
50,1078.7100277777772,4365.169988505746,2408.830896607434,2097.135740740742,1651.2112765957443,3115.991,1477.1750694444447,1764.0287804878046 
60,1735.0190791366908,13014.048835164836,2791.2089959785485,822.096421052632,2924.910338461539,1.1219499999999996,314.4544782608697,1512.6471134020614 
70,2613.5894202898553,20579.48189189189,5073.241328358206,4033.4258421052627,4169.143732142856,752.8211132075472,5966.326876923078,3179.0320615384608 
80,6016.682108108109,21046.7215,7667.45822727273,4960.052622950821,6619.300470588235,7411.128150000001,13803.264948275864,5049.358204081633 
90,7513.433818181819,0,11281.893425149692,6947.586174999999,6819.191000000001,17533.748194444437,17911.54786206896,7331.999959183676 
100,7185.7545,0,11812.78901428572,7136.378699999999,0,17275.246157894733,17143.716851851852,7116.608325581396 
110,0,0,9806.736918367353,4844.098272727272,0,16218.563727272727,16526.800545454545,4332.2470625 
120,0,0,9827.682700934589,1266.1757499999999,0,11553.700651685394,0,1302.4571428571433 
130,0,0,2880.3990000000003,0,0,2880.5321538461544,0,0 
132,0,0,0,0,0,0,0,0 
