time,session 
10,10863.842800000002 
20,16776.245333333332 
30,23905.99455555556 
40,30680.254800000002 
50,31884.894096774184 
60,26471.04860344827 
70,27930.52366666667 
80,39306.57262499999 
90,49202.81988571428 
100,56489.01919999998 
110,67907.4908301887 
120,75252.20133707873 
130,76643.78276923079 
132,0 
