time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Conversation,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root 
0,134.822,6.131,4.822,8.37,10.816,8.336,5.637,4.94,6.871 
10,128.328,6.084,4.571,8.317,10.67,7.269,5.637,4.759,6.871 
20,128.328,4.976,3.785,6.752,8.91,6.819,5.637,3.884,6.199 
30,128.328,4.976,3.785,6.752,8.91,6.298,5.637,3.884,6.199 
40,128.328,4.976,3.785,6.752,8.91,6.298,5.637,3.884,6.199 
50,128.328,4.976,3.785,6.752,8.91,6.298,5.637,3.884,6.199 
