time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,33.81526166097195,36.073522276175396,54.40287024169257,,,19.817469720902537,,19.891543033158587, 
10,48.61311041017103,79.04140086563794,93.10077145903558,,,4.9312902659953,,50.06320537635956, 
20,94.48969111460141,144.23892404421355,1387.0469177453588,0,,44.481623103947,0,142.78635321737778,0 
30,148.47841875840257,178.53750000000002,3107.1533782650595,0.0,97.12299999999999,48.45029359991916,0.0,162.74473083070924,0.0 
40,0,0,0.0,0,0,0,0,0.0,0 
50,0,0,0,0,0,0,0,0,0 
60,0,0,21977.853107022493,0.0,0.0,0,0.0,0,0.0 
70,0,0,28836.755448614946,9.62910927511464,11.726260529256546,0,4.9701657829236385,0,121.03182777586 
80,0,0,26702.1608723861,7.312445009855507,29.681742970320546,0,1.7417122794555597,0,14.651863448559554 
90,0,0,24782.01289363503,85.98174365707175,37.28473057483989,0,1.4782356048348881,0,48.00457970475734 
100,0,0,20978.15241215874,39.932489556594135,27.609544787989535,0,2.00692866506799,0,1.2008855066158477 
110,0,0,0,0,0,0,0,0,0 
112,0,0,0.0,0,0.0,0,0,0,0 
