time,tr_Post_Register,tr_Get_Root,page,tr_Post_New_Post,tr_Redirect_To_New_Post,tr_Get_Register,tr_Get_Book,tr_Redirect_Root,tr_Get_New_Post 
0,132.316,61.173,6.506,,,6.664,,60.545, 
10,132.316,61.173,6.506,,,6.664,,60.545, 
20,132.316,61.173,5.813,316.474,,5.968,14540.363,60.545,29.554 
30,132.316,61.173,5.813,67.66,227.863,5.968,14540.363,60.545,29.554 
40,132.316,61.173,5.813,67.66,227.863,5.968,14540.363,60.545,29.554 
50,132.316,61.173,5.813,67.66,227.863,5.968,14540.363,60.545,29.554 
60,132.316,61.173,5.813,67.66,108.129,5.968,14540.363,60.545,20.219 
70,132.316,61.173,5.813,32.339,81.569,5.968,14540.363,60.545,16.224 
80,132.316,61.173,5.813,30.066,32.902,5.968,14540.363,60.545,13.641 
90,132.316,61.173,5.813,25.482,27.745,5.968,14540.363,60.545,13.641 
100,132.316,61.173,5.813,25.482,27.745,5.968,14540.363,60.545,13.641 
110,132.316,61.173,5.813,25.482,27.745,5.968,14540.363,60.545,13.641 
112,132.316,61.173,5.813,25.482,27.745,5.968,14540.363,60.545,13.641 
