time,size_sent,size_rcv 
0,9.440625,1491.12734375 
10,54.18203125,4518.590625 
20,98.8640625,7018.33515625 
30,142.62734375,10748.83671875 
40,189.5140625,15354.54140625 
50,246.8078125,19937.59765625 
60,280.43671875,24456.59453125 
70,356.49765625,28312.259375 
80,415.74140625,31367.2328125 
90,457.76640625,35399.5546875 
100,531.86875,39243.65 
110,610.08671875,44760.37265625 
120,623.60234375,44804.64765625 
121,624.14921875,44806.17890625 
