time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_Root,tr_Post_New_Book 
0,239.336,1051.859,1051.729,69.029,25.249,831.172, 
10,380.329,2010.048,2009.922,69.029,162.613,1820.915,63.885 
20,942.434,5042.32,5662.071,922.308,209.93,5662.223,729.689 
30,1955.975,10829.541,10987.475,1111.125,1885.462,10987.588,2045.995 
40,6146.189,12704.739,12704.554,5902.011,5903.189,11663.933,5606.887 
50,10485.161,16702.589,16702.486,9448.064,10422.668,14868.274,8913.466 
60,14231.421,20871.485,20871.348,13508.126,13685.299,17835.73,13379.426 
70,14231.421,24502.816,25925.33,13508.126,13824.688,25925.49,13735.591 
80,14231.421,30457.701,30457.573,13508.126,13824.688,29906.649,13735.591 
90,14231.421,30457.701,30457.573,13508.126,13824.688,29906.649,13735.591 
100,14231.421,30457.701,30457.573,13508.126,13824.688,29906.649,13735.591 
110,14231.421,30457.701,30457.573,13508.126,13824.688,29906.649,13735.591 
120,14231.421,30457.701,30457.573,13508.126,13824.688,29906.649,13735.591 
121,14231.421,30457.701,30457.573,13508.126,13824.688,29906.649,13735.591 
