time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_Root,tr_Post_New_Book 
0,0.5,1.8,4,0.1,1.4,0.2, 
10,2.3,1.8,11.7,2.1,1.8,2.2,1.5 
20,2.6,2.6,10.6,0.8,2.6,0.7,1.3 
30,1.8,2.9,10.5,0.8,2.1,2.1,0.8 
40,1,4.9,11.5,1.3,2.6,1.5,0.2 
50,2.4,15.7,28.3,1.6,5.9,1.3,1.4 
60,1.4,7.2,12.8,0.6,2.1,0.7,0.8 
70,4.4,4.6,20.1,0.7,9.4,0.4,0.6 
80,6.3,3.4,13.1,0,2,0.7,0.7 
90,2.4,0.1,11.2,0.7,2.7,5.3,0 
100,3.5,0,23,8,0.5,4.9,6.1 
110,0,0,25.6,8.6,0,7.1,9.9 
120,0,0,2.8,0.8,0,0,2 
121,0,0,0.1,0,0,0,0.1 
