time,tr_Post_Register,tr_Get_Root,page,tr_Get_New_Book,tr_Get_Register,tr_Redirect_Root,tr_Post_New_Book 
0,175.2022,766.5495555555555,404.4482,69.029,11.911857142857144,639.3240000000001, 
10,210.3135217391305,1234.6993888888887,427.5708376068376,15.285190476190476,31.61905555555555,992.4727727272729,17.379266666666663 
20,362.73307692307696,2351.4501538461536,896.9587264150945,168.578625,29.93219230769231,2931.9812857142856,144.45323076923077 
30,776.9593333333333,8370.883379310346,4359.97782857143,351.086625,464.03885714285707,8749.650999999998,597.4465 
40,5076.1287,10101.470795918367,7441.707965217395,4668.092153846154,3888.628423076924,9249.850266666665,4773.130999999999 
50,3530.48575,5057.138318471337,4616.713268551233,5673.787499999999,3046.8806949152545,6540.408307692309,5164.88364285714 
60,12072.532142857142,13849.36508333333,12519.312867187498,6062.373166666667,10304.176904761905,12453.466,12048.521624999998 
70,6077.125,22126.397326086957,10781.228014925378,6325.787285714286,7287.949521276599,22461.88625,10444.239333333331 
80,5398.406238095236,28440.712264705875,12416.047206106874,0,5882.405049999999,23374.016428571427,5454.053857142856 
90,9127.597833333331,30419.543,13240.696910714281,9014.468714285715,8929.120962962961,17534.16383018867,0 
100,5558.144114285717,0,8040.47776956521,4972.497575000003,6681.3338,20421.39751020409,3655.220262295081 
110,0,0,4072.895566406245,276.08845348837207,0,14025.974014084504,233.55808080808083 
120,0,0,9.859035714285715,13.22425,0,0,8.790350000000004 
121,0,0,9.955,0,0,0,10.132 
