time,nomatch,match,match_stop 
10,1.5,10.2,1.5 
20,1.3,9.3,1.3 
30,0.8,9.7,0.8 
40,0.9,10.6,0.9 
50,17.7,10.6,17.7 
60,3.4,9.4,3.4 
70,0.6,19.5,0.6 
80,0.7,12.4,0.7 
90,0,11.2,0 
100,6.1,16.9,6.1 
110,9.9,15.7,9.9 
120,2,0.8,2 
121,0.1,0,0.1 
